core_diameter_mm,shell_thickness_mm,energy_density_wh_per_l,reserve_fraction,round_trip_efficiency,active_duty_cycle,load_power_mw,storage_volume_l,usable_energy_wh,required_energy_wh,margin_wh,status
10,0.5,25,0.1,0.6,0.1,10,0.00017331119472303673,0.002339701128760996,0.0006,0.001739701128760996,PASS
10,0.5,25,0.1,0.6,0.25,10,0.00017331119472303673,0.002339701128760996,0.0015,0.0008397011287609958,PASS
10,0.5,25,0.1,0.6,0.5,10,0.00017331119472303673,0.002339701128760996,0.003,-0.0006602988712390043,FAIL
10,0.5,25,0.1,0.75,0.1,10,0.00017331119472303673,0.002924626410951245,0.0006,0.002324626410951245,PASS
10,0.5,25,0.1,0.75,0.25,10,0.00017331119472303673,0.002924626410951245,0.0015,0.0014246264109512448,PASS
10,0.5,25,0.1,0.75,0.5,10,0.00017331119472303673,0.002924626410951245,0.003,-7.537358904875519e-05,FAIL
10,0.5,25,0.1,0.9,0.1,10,0.00017331119472303673,0.003509551693141494,0.0006,0.002909551693141494,PASS
10,0.5,25,0.1,0.9,0.25,10,0.00017331119472303673,0.003509551693141494,0.0015,0.002009551693141494,PASS
10,0.5,25,0.1,0.9,0.5,10,0.00017331119472303673,0.003509551693141494,0.003,0.0005095516931414939,PASS
10,0.5,25,0.2,0.6,0.1,10,0.00017331119472303673,0.002079734336676441,0.0006,0.001479734336676441,PASS
10,0.5,25,0.2,0.6,0.25,10,0.00017331119472303673,0.002079734336676441,0.0015,0.0005797343366764408,PASS
10,0.5,25,0.2,0.6,0.5,10,0.00017331119472303673,0.002079734336676441,0.003,-0.0009202656633235592,FAIL
10,0.5,25,0.2,0.75,0.1,10,0.00017331119472303673,0.0025996679208455512,0.0006,0.0019996679208455514,PASS
10,0.5,25,0.2,0.75,0.25,10,0.00017331119472303673,0.0025996679208455512,0.0015,0.0010996679208455512,PASS
10,0.5,25,0.2,0.75,0.5,10,0.00017331119472303673,0.0025996679208455512,0.003,-0.0004003320791544488,FAIL
10,0.5,25,0.2,0.9,0.1,10,0.00017331119472303673,0.0031196015050146617,0.0006,0.002519601505014662,PASS
10,0.5,25,0.2,0.9,0.25,10,0.00017331119472303673,0.0031196015050146617,0.0015,0.0016196015050146616,PASS
10,0.5,25,0.2,0.9,0.5,10,0.00017331119472303673,0.0031196015050146617,0.003,0.0001196015050146616,PASS
10,0.5,25,0.3,0.6,0.1,10,0.00017331119472303673,0.0018197675445918856,0.0006,0.0012197675445918855,PASS
10,0.5,25,0.3,0.6,0.25,10,0.00017331119472303673,0.0018197675445918856,0.0015,0.0003197675445918856,PASS
10,0.5,25,0.3,0.6,0.5,10,0.00017331119472303673,0.0018197675445918856,0.003,-0.0011802324554081145,FAIL
10,0.5,25,0.3,0.75,0.1,10,0.00017331119472303673,0.002274709430739857,0.0006,0.0016747094307398573,PASS
10,0.5,25,0.3,0.75,0.25,10,0.00017331119472303673,0.002274709430739857,0.0015,0.0007747094307398571,PASS
10,0.5,25,0.3,0.75,0.5,10,0.00017331119472303673,0.002274709430739857,0.003,-0.0007252905692601429,FAIL
10,0.5,25,0.3,0.9,0.1,10,0.00017331119472303673,0.0027296513168878285,0.0006,0.0021296513168878287,PASS
10,0.5,25,0.3,0.9,0.25,10,0.00017331119472303673,0.0027296513168878285,0.0015,0.0012296513168878285,PASS
10,0.5,25,0.3,0.9,0.5,10,0.00017331119472303673,0.0027296513168878285,0.003,-0.00027034868311217155,FAIL
10,0.5,25,0.4,0.6,0.1,10,0.00017331119472303673,0.0015598007525073306,0.0006,0.0009598007525073307,PASS
10,0.5,25,0.4,0.6,0.25,10,0.00017331119472303673,0.0015598007525073306,0.0015,5.980075250733058e-05,PASS
10,0.5,25,0.4,0.6,0.5,10,0.00017331119472303673,0.0015598007525073306,0.003,-0.0014401992474926695,FAIL
10,0.5,25,0.4,0.75,0.1,10,0.00017331119472303673,0.0019497509406341635,0.0006,0.0013497509406341637,PASS
10,0.5,25,0.4,0.75,0.25,10,0.00017331119472303673,0.0019497509406341635,0.0015,0.0004497509406341635,PASS
10,0.5,25,0.4,0.75,0.5,10,0.00017331119472303673,0.0019497509406341635,0.003,-0.0010502490593658365,FAIL
10,0.5,25,0.4,0.9,0.1,10,0.00017331119472303673,0.0023397011287609962,0.0006,0.0017397011287609964,PASS
10,0.5,25,0.4,0.9,0.25,10,0.00017331119472303673,0.0023397011287609962,0.0015,0.0008397011287609962,PASS
10,0.5,25,0.4,0.9,0.5,10,0.00017331119472303673,0.0023397011287609962,0.003,-0.0006602988712390038,FAIL
10,0.5,50,0.1,0.6,0.1,10,0.00017331119472303673,0.004679402257521992,0.0006,0.004079402257521992,PASS
10,0.5,50,0.1,0.6,0.25,10,0.00017331119472303673,0.004679402257521992,0.0015,0.0031794022575219916,PASS
10,0.5,50,0.1,0.6,0.5,10,0.00017331119472303673,0.004679402257521992,0.003,0.0016794022575219916,PASS
10,0.5,50,0.1,0.75,0.1,10,0.00017331119472303673,0.00584925282190249,0.0006,0.00524925282190249,PASS
10,0.5,50,0.1,0.75,0.25,10,0.00017331119472303673,0.00584925282190249,0.0015,0.00434925282190249,PASS
10,0.5,50,0.1,0.75,0.5,10,0.00017331119472303673,0.00584925282190249,0.003,0.0028492528219024897,PASS
10,0.5,50,0.1,0.9,0.1,10,0.00017331119472303673,0.007019103386282988,0.0006,0.006419103386282988,PASS
10,0.5,50,0.1,0.9,0.25,10,0.00017331119472303673,0.007019103386282988,0.0015,0.005519103386282987,PASS
10,0.5,50,0.1,0.9,0.5,10,0.00017331119472303673,0.007019103386282988,0.003,0.004019103386282988,PASS
10,0.5,50,0.2,0.6,0.1,10,0.00017331119472303673,0.004159468673352882,0.0006,0.003559468673352882,PASS
10,0.5,50,0.2,0.6,0.25,10,0.00017331119472303673,0.004159468673352882,0.0015,0.0026594686733528816,PASS
10,0.5,50,0.2,0.6,0.5,10,0.00017331119472303673,0.004159468673352882,0.003,0.0011594686733528816,PASS
10,0.5,50,0.2,0.75,0.1,10,0.00017331119472303673,0.0051993358416911025,0.0006,0.004599335841691103,PASS
10,0.5,50,0.2,0.75,0.25,10,0.00017331119472303673,0.0051993358416911025,0.0015,0.0036993358416911024,PASS
10,0.5,50,0.2,0.75,0.5,10,0.00017331119472303673,0.0051993358416911025,0.003,0.0021993358416911024,PASS
